claim_id	paper_claim	evidence_type	public_safe_support	confidence_tier	source_run_ids	privacy_status
global_ashkenazi_frame	Whole-genome behavior places the study target inside Ashkenazi Jewish variation.	PCA/Q distance; whole-genome nearest-neighbor; Ashkenazi-control sensitivity; ROH context	`derived_tables/global_sensitivity_summary.tsv`; `run_summaries/evidence_synthesis.md`	high	global_sensitivity_audit_v1; post_map_decision_synthesis_v1	public aggregate only
layered_founder_model	Regional signals are best read as layered founder-history texture unless they resolve into a lineage or compact local object.	Global sensitivity; local-object ledger; negative-evidence ledger	`derived_tables/local_object_evidence_ledger.tsv`; `derived_tables/global_sensitivity_summary.tsv`	high	global_sensitivity_audit_v1; post_map_decision_synthesis_v1	public aggregate only
direct_maternal_h1aj1a	Direct maternal line is `H1aj1a`, with `152C`-side public-tree context and Ashkenazi-compatible European/North-Central Mediterranean framing.	mtDNA haplogroup hardening; public resource sweep	`derived_tables/direct_lineage_summary.tsv`; `run_summaries/lineage_summary.md`	moderate	mtDNA_haplotype_hardening_v1; mtDNA_public_resource_sweep_v1	public branch summary only
direct_paternal_r_yp1366	Direct paternal line is `R-YP1366*(xR-Y50410)` under the R-Z93/R-Y2619 side of R1a.	Y-DNA local refinement; public-tree context; downstream exclusion	`derived_tables/direct_lineage_summary.tsv`; `run_summaries/lineage_summary.md`	high	y_dna_local_refinement_v1; y_dna_public_query_packet_v1	public branch summary only
chr10_lithuanian_tract	chr10:63.81-67.23 Mb is the cleanest local regional tract, with Lithuanian/Baltic or Litvak-adjacent support.	IBD/exact-run; phase/parent side; ChromoPainter donor behavior	`canonical_windows/window_evidence_summary.tsv`; `derived_tables/local_object_evidence_ledger.tsv`; `paper/figures/fig1_local_object_map.png`	high	baltic_litvak_chr10_lithuanian_tract_consolidation_v1; haplotype_painting_anchor_validation_v1	public summary only
chr9_jewish_samaritan_core	chr9:71.10-74.21 Mb is a compact Jewish/Samaritan/Ashkenazi local object.	Exact-run sharing; IBD span; ChromoPainter anchor switching; Roquetes context	`canonical_windows/window_evidence_summary.tsv`; `derived_tables/anchor_validation_public_summary.tsv`; `paper/figures/fig1_local_object_map.png`	high	chr9_carrier_breakpoint_audit_v1; haplotype_painting_anchor_validation_v1; roquetes_prjeb107193_wgs_context_pilot_v1	public summary only
chr3_rare_motif	chr3:47.00-49.29 Mb is the strongest rare founder block, with Mediterranean/eastern-Mediterranean/West-Asian proxy anchors.	Phased bridge motif; carrier subclasses; ChromoPainter leave-one-anchor validation	`canonical_windows/window_evidence_summary.tsv`; `derived_tables/anchor_validation_public_summary.tsv`; `paper/figures/fig2_chr3_bridge_schematic.png`	high	rare_motif_chr3_founder_structure_audit_v1; haplotype_painting_anchor_validation_v1	public summary only
chr3_belorus_micro_core	chr3:106.986-107.926 Mb is a lower-tier local-Baltic/Belorussian micro-haplotype.	Exact core; phase-side support; missing threshold IBD	`canonical_windows/window_evidence_summary.tsv`; `derived_tables/local_object_evidence_ledger.tsv`	moderate	baltic_litvak_chr3_belorussian_microhap_packet_v1	public summary only
chr16_regional_context	chr16:85-90 Mb remains regional context, with no compact source-ready object under current data.	Regional texture; diffuse IBD/haplotype behavior; source-object guardrails	`canonical_windows/window_evidence_summary.tsv`; `derived_tables/local_object_evidence_ledger.tsv`	context	founder_subpool_map_v1; post_map_decision_synthesis_v1	public aggregate only
romani_family_story_audit	Open-data Roma/Romani audit supports an Ashkenazi-centered reading; matched Central/Eastern European Roma references are the key future upgrade.	Whole-genome contrasts; 10 Mb differential windows; public-data inventory	`derived_tables/romani_audit_public_summary.tsv`; `derived_tables/public_dataset_inventory.tsv`	weak_or_unresolved_for_small_branch	romani_lineage_audit_v1; romani_public_data_inventory_v1	public aggregate only
data_gap_late_southern_levant	Direct late southern-Levant Jewish-context specificity remains data-limited.	Public-data inventory; Nahal Yarmuth low-power pilot; global sensitivity	`derived_tables/public_dataset_inventory.tsv`; `run_summaries/public_data_pilots_summary.md`	data_limited	global_sensitivity_audit_v1; nahal_yarmuth_prjeb83268_context_pilot_v1	public accession summary only
